Variável,Segue Normalidade,Resultado T-Test,Resultado Mann-Whitney,Normalidade
atributos,False,Não Executado,Executado,"{'CORRELATION': 'Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Normal', 'LAPPAS & YANNACOPOULOS': 'Normal', '[EFS-AHP]GPT': 'Não Normal', '[EFS-AHP]DEC 1': 'Normal', '[EFS-AHP]DEC 2': 'Não Normal', '[EFS-AHP]DEC 3': 'Normal', '[EFS-AHP]GRUPO': 'Normal'}"
R²,True,Executado,Não Executado,"{'CORRELATION': 'Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Normal', 'LAPPAS & YANNACOPOULOS': 'Normal', '[EFS-AHP]GPT': 'Normal', '[EFS-AHP]DEC 1': 'Normal', '[EFS-AHP]DEC 2': 'Normal', '[EFS-AHP]DEC 3': 'Normal', '[EFS-AHP]GRUPO': 'Normal'}"
treinamento (min),False,Não Executado,Executado,"{'CORRELATION': 'Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Normal', 'LAPPAS & YANNACOPOULOS': 'Não Normal', '[EFS-AHP]GPT': 'Normal', '[EFS-AHP]DEC 1': 'Normal', '[EFS-AHP]DEC 2': 'Normal', '[EFS-AHP]DEC 3': 'Normal', '[EFS-AHP]GRUPO': 'Normal'}"
