algoritmo;grupo_testes;atributos;layers;r2_validação;R²;treinamento (min);mst;mse;rmse;mae;mape;smape;geracoes;taxa_mutação;taxa_crossover;tamanho_população;
[EFS-AHP]DEC 1;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,869497178";"0,784104768";"62,81671667";"87,6292443";"11,43586364";"3,381695379";"2,559686745";"0,08094447";"0,077420355";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;9;0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ;"0,899231859";"0,913190854";89;"95,36945339";"9,610202528";"3,100032666";"2,198638768";"0,070993111";"0,067858168";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,899389845";"0,79655277";66;"83,41284259";"8,392178992";"2,896925783";"2,173622545";"0,066300498";"0,06408206";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,864347773";"0,746119682";"79,4443";"79,22383452";"10,7468896";"3,278244896";"2,43932875";"0,071329383";"0,06943214";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;13;0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,906749617";"0,831806018";75;"81,48885521";"7,598866963";"2,756604245";"2,190648804";"0,065236761";"0,064546717";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,865380957";"0,87090741";"64,86365";"82,52207669";"11,10904297";"3,333023097";"2,48788815";"0,084077129";"0,079533188";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;8;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 ;"0,955495922";"0,745935592";"59,66956667";"88,80833932";"3,952333283";"1,988047606";"1,557626573";"0,049239406";"0,048492657";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;7;0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,910215984";"0,684787064";64;"106,5081783";"9,562732032";"3,092366736";"2,403921003";"0,078663769";"0,075009757";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;13;0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,896846374";"0,877476959";83;"114,9827834";"11,86089103";"3,443964435";"2,397050589";"0,066056299";"0,066402376";10;"0,1";"0,8";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;7;0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,88511924";"0,885074571";"73,19793333";"71,32601579";"8,19398687";"2,862514082";"2,082903697";"0,068058846";"0,064707017";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,923768855";"0,871770501";"73,07506667";"86,72527244";"6,611166829";"2,571218938";"1,92543208";"0,056312174";"0,055682206";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;7;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 ;"0,89966445";"0,899287391";69;"91,59878045";"9,190614005";"3,031602547";"2,092199999";"0,058736622";"0,058898478";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,89612546";"0,864252108";83;"99,50391581";"10,33592347";"3,214953105";"2,486193225";"0,075079771";"0,073242436";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;7;0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ;"0,896236188";"0,844819685";"83,56491667";"97,29798187";"10,09600951";"3,177421834";"2,255788279";"0,074775907";"0,070787776";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;10;0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,87749671";"0,804217936";"69,67348333";"99,04543852";"12,13339204";"3,483301888";"2,658557719";"0,090123638";"0,083832542";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,877179208";"0,830936279";"74,16218333";"90,25692939";"11,08542752";"3,329478566";"2,590834573";"0,079921008";"0,076644936";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,897356685";"0,90294589";"70,59003333";"80,75735457";"8,289202568";"2,879097527";"2,201549914";"0,0684659";"0,066103996";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,848482324";"0,85146914";"83,90068333";"57,71216115";"8,744412546";"2,957095289";"2,278814691";"0,072364165";"0,069975157";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 ;"0,889821039";"0,815898627";"74,33306667";"90,12872701";"9,930289502";"3,151236186";"2,315877376";"0,075181768";"0,071019589";10;"0,1";"0,8";100;
[EFS-AHP]DEC 2;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,873800004";"0,870701711";"87,95826667";"84,37474975";"10,64809311";"3,263141601";"2,34776631";"0,074225511";"0,070803374";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;7;0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,79537198";"0,774117279";"69,17703333";"94,75842233";"19,39022832";"4,403433697";"3,384630258";"0,111264876";"0,104820086";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;18;1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,841646845";"0,851860448";78;"69,12113722";"10,94555015";"3,308405983";"2,502917419";"0,084385683";"0,079918025";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;13;0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,891517575";"0,732244322";"67,84225";"117,9047411";"12,79059221";"3,576393743";"2,59920066";"0,08813333";"0,08262087";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;7;0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,817073036";"0,721613394";72;"65,83768837";"12,04348844";"3,470372954";"2,646113231";"0,087156089";"0,082034077";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;7;0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,821724448";"0,656832084";"79,35636667";"80,85128883";"14,41380813";"3,796552138";"2,908722594";"0,093965569";"0,088904495";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,838624872";"0,743913782";"69,0071";"79,88292402";"12,89111708";"3,590420182";"2,571385217";"0,081051933";"0,077978184";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,908568449";"0,888376519";"59,85465";"74,81258187";"6,840230366";"2,615383407";"1,973659557";"0,061396359";"0,05974458";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;11;1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,867121067";"0,793432469";"70,56643333";"96,79450192";"12,86195013";"3,586356108";"2,82314558";"0,08971815";"0,085555667";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ;"0,843728762";"0,846500351";"76,92916667";"91,62383727";"14,31817046";"3,783935842";"2,646430906";"0,087624951";"0,081493223";10;"0,1";"0,8";100;
[EFS-AHP]DEC 3;algoritmos_evolutivos;10;0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ;"0,871698646";"0,838937279";"90,72901667";"83,08223135";"10,65956274";"3,26489858";"2,469907469";"0,082588399";"0,077760894";10;"0,1";"0,8";100;
[EFS-AHP]GPT;algoritmos_evolutivos;11;1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 ;"0,894506065";"0,737278577";"40,52821667";"96,46844553";"10,17683595";"3,19011535";"2,351998118";"0,076139812";"0,072943021";10;"0,1";"0,8";100;
[EFS-AHP]GPT;algoritmos_evolutivos;8;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 ;"0,874064604";"0,834145437";"35,57456667";"97,95631466";"12,33616729";"3,512288042";"2,667813536";"0,093296592";"0,087385447";10;"0,1";"0,8";100;
[EFS-AHP]GPT;algoritmos_evolutivos;7;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 ;"0,884026947";"0,77292696";"31,46743333";"80,76100099";"9,366099861";"3,060408447";"2,017059818";"0,065098401";"0,062072711";10;"0,1";"0,8";100;
