Variável,Segue Normalidade,Resultado T-Test,Resultado Mann-Whitney,Normalidade
atributos,True,Executado,Não Executado,"{'CORRELATION': 'Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Normal', 'LAPPAS & YANNACOPOULOS': 'Normal', '[EFS-AHP]GPT': 'Normal', '[EFS-AHP]DEC 1': 'Normal'}"
R²,False,Não Executado,Executado,"{'CORRELATION': 'Não Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Não Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Não Normal', 'LAPPAS & YANNACOPOULOS': 'Normal', '[EFS-AHP]GPT': 'Normal', '[EFS-AHP]DEC 1': 'Normal'}"
treinamento (min),False,Não Executado,Executado,"{'CORRELATION': 'Normal', '[RF]FEATURE IMPORTANCE': 'Normal', 'LASSO': 'Normal', 'TSNE': 'Normal', 'UMAP': 'Normal', 'PCA': 'Normal', 'RANDOM SEARCH': 'Não Normal', 'LAPPAS & YANNACOPOULOS': 'Normal', '[EFS-AHP]GPT': 'Normal', '[EFS-AHP]DEC 1': 'Normal'}"
