30	1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 	0.7107442138609442	0.6173833394387986	136.25771666666668	75.78752918740905	21.92198133464064	4.6820915555594	3.5519747662814782	0.11089739848077582	0.10574276252783207	10	0.1	0.8	100
29	1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 1 	0.7902636794432276	0.7167401743731081	134.48826666666668	62.80128364794143	13.171710158561433	3.6292850754055452	2.966636781988522	0.08921910927820466	0.0871199413972093	10	0.1	0.8	100
28	1 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 	0.7113788232518531	0.6269549429327406	138.99888333333334	65.23243062451391	18.827460888989062	4.339062213081193	3.3922894483738717	0.10622258931323926	0.10148304452043419	10	0.1	0.8	100
24	1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 	0.7363273221610245	0.503032567156199	131.6962166666667	89.46392521689525	23.589192731924626	4.85687067276087	3.935892097043605	0.12765816860836193	0.11892278098973222	10	0.1	0.8	100
27	1 0 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 	0.7221155250810287	0.5713658388014363	133.61645000000001	65.85587703909512	18.30032581133728	4.277888008274326	3.460010785371571	0.10854697144053704	0.10408485505016934	10	0.1	0.8	100
28	0 1 1 0 1 1 0 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 1 0 1 1 1 1 	0.7215408059236201	0.5736489248910215	134.43898333333334	88.37843797736248	24.609788612905685	4.960825396333324	3.8808355827226797	0.12109206009348154	0.11435966249729944	10	0.1	0.8	100
29	1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 	0.7115790550086005	0.5810512323349958	133.47369999999998	86.88364190858952	25.059062103569754	5.005902726139388	3.957574445267104	0.1175903880029238	0.11358134383923665	10	0.1	0.8	100
23	0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 0 0 	0.7240498792374896	0.6863118416886979	131.2620666666667	87.21355089441892	24.066589901442246	4.905771081230987	3.878920624401627	0.12486684710276306	0.11762857371619116	10	0.1	0.8	100
25	0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 1 1 	0.6951926687056671	0.6061527873267037	130.5336	100.59271667654059	30.661397517823268	5.537273473273943	4.147677531330065	0.11475134261328589	0.11266348238405181	10	0.1	0.8	100
23	0 1 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 1 1 0 	0.6983474859540596	0.596948442294649	132.2761833333333	82.4466180047099	24.87022959570604	4.9870060753628564	3.989469739543739	0.1282451561486364	0.11994296889305792	10	0.1	0.8	100
